127.0.0.1 - - [31/Jul/2023:13:17:40 +0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [31/Jul/2023:13:17:42 +0300] "GET /crm/ HTTP/1.1" 404 104
0:0:0:0:0:0:0:1 - - [31/Jul/2023:13:18:31 +0300] "GET /crm/funnel?year=2023 HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [31/Jul/2023:13:18:31 +0300] "GET /crm/funnel?year=2023 HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [31/Jul/2023:13:20:03 +0300] "GET /crm/cap HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [31/Jul/2023:13:20:03 +0300] "GET /crm/cap HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [31/Jul/2023:16:40:43 +0300] "GET /crm/funnel?year=2023 HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [31/Jul/2023:16:40:43 +0300] "GET /crm/funnel?year=2023 HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [31/Jul/2023:16:40:46 +0300] "GET /crm/cap HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [31/Jul/2023:16:40:46 +0300] "GET /crm/cap HTTP/1.1" 200 253
