127.0.0.1 - - [12/Jun/2023:01:30:50 +0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Jun/2023:01:30:58 +0300] "GET /crm/opps HTTP/1.1" 404 96
0:0:0:0:0:0:0:1 - - [12/Jun/2023:01:30:58 +0300] "GET /crm/customers HTTP/1.1" 404 54
0:0:0:0:0:0:0:1 - - [12/Jun/2023:01:30:58 +0300] "GET /crm/products HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [12/Jun/2023:01:31:18 +0300] "GET /crm/opps HTTP/1.1" 200 1345
0:0:0:0:0:0:0:1 - - [12/Jun/2023:01:31:18 +0300] "GET /crm/customers HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [12/Jun/2023:01:31:18 +0300] "GET /crm/products HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [12/Jun/2023:01:31:18 +0300] "GET /crm/products HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [12/Jun/2023:01:31:18 +0300] "GET /crm/opps HTTP/1.1" 200 1345
0:0:0:0:0:0:0:1 - - [12/Jun/2023:01:31:18 +0300] "GET /crm/customers HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [12/Jun/2023:01:32:29 +0300] "GET /crm/products HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [12/Jun/2023:01:32:29 +0300] "GET /crm/opps HTTP/1.1" 404 54
0:0:0:0:0:0:0:1 - - [12/Jun/2023:01:32:29 +0300] "GET /crm/customers HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [12/Jun/2023:01:32:36 +0300] "GET /crm/steps HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [12/Jun/2023:01:32:36 +0300] "GET /crm/steps HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [12/Jun/2023:01:32:37 +0300] "GET /crm/opps HTTP/1.1" 200 1345
0:0:0:0:0:0:0:1 - - [12/Jun/2023:01:32:37 +0300] "GET /crm/customers HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [12/Jun/2023:01:32:37 +0300] "GET /crm/products HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [12/Jun/2023:01:32:37 +0300] "GET /crm/customers HTTP/1.1" 404 78
0:0:0:0:0:0:0:1 - - [12/Jun/2023:01:32:37 +0300] "GET /crm/opps HTTP/1.1" 200 1345
0:0:0:0:0:0:0:1 - - [12/Jun/2023:01:32:37 +0300] "GET /crm/products HTTP/1.1" 200 309
