0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:44:29 +0300] "GET /crm/products HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:44:29 +0300] "GET /crm/opps HTTP/1.1" 404 54
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:44:29 +0300] "GET /crm/customers HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:44:29 +0300] "GET /crm/products HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:54:03 +0300] "GET /crm/customers HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:54:03 +0300] "GET /crm/opps HTTP/1.1" 200 1345
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:54:03 +0300] "GET /crm/products HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:56:45 +0300] "GET /crm/opps HTTP/1.1" 200 1345
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:56:45 +0300] "GET /crm/customers HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:56:45 +0300] "GET /crm/products HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:57:01 +0300] "GET /crm/products HTTP/1.1" 404 78
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:57:01 +0300] "GET /crm/customers HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:57:01 +0300] "GET /crm/opps HTTP/1.1" 200 1345
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:57:01 +0300] "GET /crm/opps HTTP/1.1" 404 96
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:57:01 +0300] "GET /crm/customers HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:57:01 +0300] "GET /crm/products HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:57:17 +0300] "GET /crm/opps HTTP/1.1" 200 1345
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:57:17 +0300] "GET /crm/customers HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:57:17 +0300] "GET /crm/products HTTP/1.1" 200 309
