0:0:0:0:0:0:0:1 - - [11/Aug/2023:00:37:34 +0300] "GET /crm/products HTTP/1.1" 200 412
0:0:0:0:0:0:0:1 - - [11/Aug/2023:00:37:34 +0300] "GET /crm/products HTTP/1.1" 200 412
0:0:0:0:0:0:0:1 - - [11/Aug/2023:00:37:35 +0300] "GET /crm/steps HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [11/Aug/2023:00:37:35 +0300] "GET /crm/steps HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [11/Aug/2023:00:38:42 +0300] "POST /crm/steps?description=bla&percentage=1 HTTP/1.1" 404 120
0:0:0:0:0:0:0:1 - - [11/Aug/2023:00:39:10 +0300] "POST /crm/steps?description=bla&percentage=1 HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [11/Aug/2023:00:39:26 +0300] "OPTIONS /crm/steps?id=7&description=bla&percentage=12 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [11/Aug/2023:00:39:26 +0300] "PUT /crm/steps?id=7&description=bla&percentage=12 HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [11/Aug/2023:00:39:33 +0300] "OPTIONS /crm/steps?id=7 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [11/Aug/2023:00:39:33 +0300] "DELETE /crm/steps?id=7 HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [11/Aug/2023:00:39:35 +0300] "GET /crm/products HTTP/1.1" 200 412
0:0:0:0:0:0:0:1 - - [11/Aug/2023:00:39:35 +0300] "GET /crm/products HTTP/1.1" 200 412
0:0:0:0:0:0:0:1 - - [11/Aug/2023:00:39:35 +0300] "GET /crm/steps HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [11/Aug/2023:00:39:35 +0300] "GET /crm/steps HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [11/Aug/2023:00:39:41 +0300] "GET /crm/customers HTTP/1.1" 200 1240
0:0:0:0:0:0:0:1 - - [11/Aug/2023:00:39:41 +0300] "GET /crm/products HTTP/1.1" 200 412
0:0:0:0:0:0:0:1 - - [11/Aug/2023:00:39:41 +0300] "GET /crm/opps HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [11/Aug/2023:00:39:41 +0300] "GET /crm/customers HTTP/1.1" 200 1240
0:0:0:0:0:0:0:1 - - [11/Aug/2023:00:39:41 +0300] "GET /crm/products HTTP/1.1" 200 412
0:0:0:0:0:0:0:1 - - [11/Aug/2023:00:39:41 +0300] "GET /crm/steps HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [11/Aug/2023:00:39:41 +0300] "GET /crm/opps HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [11/Aug/2023:00:39:41 +0300] "GET /crm/steps HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [11/Aug/2023:00:53:06 +0300] "GET /crm/steps HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [11/Aug/2023:00:53:06 +0300] "GET /crm/steps HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [11/Aug/2023:00:53:07 +0300] "GET /crm/opps HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [11/Aug/2023:00:53:07 +0300] "GET /crm/customers HTTP/1.1" 200 1240
0:0:0:0:0:0:0:1 - - [11/Aug/2023:00:53:07 +0300] "GET /crm/products HTTP/1.1" 200 412
0:0:0:0:0:0:0:1 - - [11/Aug/2023:00:53:07 +0300] "GET /crm/steps HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [11/Aug/2023:00:53:07 +0300] "GET /crm/opps HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [11/Aug/2023:00:53:07 +0300] "GET /crm/customers HTTP/1.1" 200 1240
0:0:0:0:0:0:0:1 - - [11/Aug/2023:00:53:07 +0300] "GET /crm/products HTTP/1.1" 200 412
0:0:0:0:0:0:0:1 - - [11/Aug/2023:00:53:07 +0300] "GET /crm/steps HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [11/Aug/2023:00:53:09 +0300] "GET /crm/opps/probabilities?id=1 HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [11/Aug/2023:00:53:09 +0300] "GET /crm/opps/probabilities?id=1 HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [11/Aug/2023:00:53:12 +0300] "GET /crm/opps HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [11/Aug/2023:00:53:12 +0300] "GET /crm/customers HTTP/1.1" 404 54
0:0:0:0:0:0:0:1 - - [11/Aug/2023:00:53:12 +0300] "GET /crm/products HTTP/1.1" 200 412
