0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:39 +0300] "GET /crm/cap/vision?company_id=2&cap_id=5 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:39 +0300] "GET /crm/cap/vision?company_id=2&cap_id=5 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:40 +0300] "GET /crm/cap/swot?company_id=2&type=s&cap_id=5 HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:40 +0300] "GET /crm/cap/swot?company_id=2&type=w&cap_id=5 HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:40 +0300] "GET /crm/cap/swot?company_id=2&type=o&cap_id=5 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:40 +0300] "GET /crm/cap/swot?company_id=2&type=t&cap_id=5 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:41 +0300] "GET /crm/cap/swot?company_id=2&type=w&cap_id=5 HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:41 +0300] "GET /crm/cap/swot?company_id=2&type=s&cap_id=5 HTTP/1.1" 404 54
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:41 +0300] "GET /crm/cap/swot?company_id=2&type=o&cap_id=5 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:41 +0300] "GET /crm/cap/swot?company_id=2&type=t&cap_id=5 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:42 +0300] "GET /crm/cap/pareto?company_id=2 HTTP/1.1" 200 1534
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:42 +0300] "GET /crm/cap/pareto?company_id=2 HTTP/1.1" 200 1534
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:47 +0300] "GET /crm/cap/vision?company_id=2&cap_id=5 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:47 +0300] "GET /crm/cap/vision?company_id=2&cap_id=5 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:21 +0300] "POST /crm/account/login?username=admin&password=admin HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:24 +0300] "GET /crm/contacts?company_id=2 HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:24 +0300] "GET /crm/contacts?company_id=2 HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:32 +0300] "GET /crm/account?company_id=2 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:32 +0300] "GET /crm/customers?company_id=2&is_customer=1 HTTP/1.1" 200 1232
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:32 +0300] "GET /crm/account?company_id=2 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:32 +0300] "GET /crm/customers?company_id=2&is_customer=1 HTTP/1.1" 200 1232
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:38 +0300] "GET /crm/account?company_id=2&customer_id=2 HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:40 +0300] "GET /crm/customers?company_id=2&is_customer=0 HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:40 +0300] "GET /crm/account?company_id=2 HTTP/1.1" 404 98
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:40 +0300] "GET /crm/customers?company_id=2&is_customer=0 HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:40 +0300] "GET /crm/account?company_id=2 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:42 +0300] "GET /crm/products?company_id=2 HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:42 +0300] "GET /crm/products?company_id=2 HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:45 +0300] "GET /crm/steps?company_id=2 HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:45 +0300] "GET /crm/steps?company_id=2 HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:46 +0300] "GET /crm/products?company_id=2 HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:46 +0300] "GET /crm/opps?company_id=2 HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:46 +0300] "GET /crm/customers?company_id=2 HTTP/1.1" 404 96
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:46 +0300] "GET /crm/steps?company_id=2 HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:46 +0300] "GET /crm/opps?company_id=2 HTTP/1.1" 404 96
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:46 +0300] "GET /crm/customers?company_id=2 HTTP/1.1" 200 1961
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:46 +0300] "GET /crm/products?company_id=2 HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:46 +0300] "GET /crm/steps?company_id=2 HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:48 +0300] "GET /crm/opps/probabilities?id=17&company_id=2 HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:48 +0300] "GET /crm/opps/probabilities?id=17&company_id=2 HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:51 +0300] "GET /crm/funnel?year=2023&company_id=2 HTTP/1.1" 200 474
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:51 +0300] "GET /crm/funnel?year=2023&company_id=2 HTTP/1.1" 200 474
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:54 +0300] "GET /crm/cap?company_id=2 HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:54 +0300] "GET /crm/cap?company_id=2 HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:55 +0300] "GET /crm/cap/vision?company_id=2&cap_id=5 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:55 +0300] "GET /crm/cap/vision?company_id=2&cap_id=5 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:58 +0300] "GET /crm/cap/swot?company_id=2&type=s&cap_id=5 HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:58 +0300] "GET /crm/cap/swot?company_id=2&type=w&cap_id=5 HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:58 +0300] "GET /crm/cap/swot?company_id=2&type=o&cap_id=5 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:58 +0300] "GET /crm/cap/swot?company_id=2&type=t&cap_id=5 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:58 +0300] "GET /crm/cap/swot?company_id=2&type=s&cap_id=5 HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:58 +0300] "GET /crm/cap/swot?company_id=2&type=o&cap_id=5 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:58 +0300] "GET /crm/cap/swot?company_id=2&type=w&cap_id=5 HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:05:58 +0300] "GET /crm/cap/swot?company_id=2&type=t&cap_id=5 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:06:02 +0300] "GET /crm/cap/pareto?company_id=2 HTTP/1.1" 200 1534
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:06:02 +0300] "GET /crm/cap/pareto?company_id=2 HTTP/1.1" 200 1534
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:26 +0300] "POST /crm/account/login?username=admin&password=admin HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:30 +0300] "GET /crm/contacts?company_id=2 HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:30 +0300] "GET /crm/contacts?company_id=2 HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:33 +0300] "GET /crm/customers?company_id=2&is_customer=1 HTTP/1.1" 404 54
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:33 +0300] "GET /crm/account?company_id=2 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:33 +0300] "GET /crm/customers?company_id=2&is_customer=1 HTTP/1.1" 200 1232
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:33 +0300] "GET /crm/account?company_id=2 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:36 +0300] "GET /crm/customers?company_id=2&is_customer=0 HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:36 +0300] "GET /crm/account?company_id=2 HTTP/1.1" 404 98
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:36 +0300] "GET /crm/account?company_id=2 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:36 +0300] "GET /crm/customers?company_id=2&is_customer=0 HTTP/1.1" 404 54
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:39 +0300] "GET /crm/products?company_id=2 HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:39 +0300] "GET /crm/products?company_id=2 HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:41 +0300] "GET /crm/steps?company_id=2 HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:41 +0300] "GET /crm/steps?company_id=2 HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:42 +0300] "GET /crm/opps?company_id=2 HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:42 +0300] "GET /crm/customers?company_id=2 HTTP/1.1" 200 1961
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:42 +0300] "GET /crm/steps?company_id=2 HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:42 +0300] "GET /crm/products?company_id=2 HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:42 +0300] "GET /crm/opps?company_id=2 HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:42 +0300] "GET /crm/customers?company_id=2 HTTP/1.1" 200 1961
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:42 +0300] "GET /crm/steps?company_id=2 HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:42 +0300] "GET /crm/products?company_id=2 HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:43 +0300] "GET /crm/opps/probabilities?id=14&company_id=2 HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:43 +0300] "GET /crm/opps/probabilities?id=14&company_id=2 HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:45 +0300] "GET /crm/customers?company_id=2 HTTP/1.1" 404 54
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:45 +0300] "GET /crm/opps?company_id=2 HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:45 +0300] "GET /crm/products?company_id=2 HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:45 +0300] "GET /crm/steps?company_id=2 HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:45 +0300] "GET /crm/opps?company_id=2 HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:45 +0300] "GET /crm/customers?company_id=2 HTTP/1.1" 200 1961
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:45 +0300] "GET /crm/steps?company_id=2 HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:45 +0300] "GET /crm/products?company_id=2 HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:46 +0300] "GET /crm/opps/probabilities?id=17&company_id=2 HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:47 +0300] "GET /crm/opps/probabilities?id=17&company_id=2 HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:49 +0300] "GET /crm/funnel?year=2023&company_id=2 HTTP/1.1" 200 474
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:49 +0300] "GET /crm/funnel?year=2023&company_id=2 HTTP/1.1" 200 474
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:51 +0300] "GET /crm/cap?company_id=2 HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:51 +0300] "GET /crm/cap?company_id=2 HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:53 +0300] "GET /crm/cap/vision?company_id=2&cap_id=5 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:53 +0300] "GET /crm/cap/vision?company_id=2&cap_id=5 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:55 +0300] "GET /crm/cap/swot?company_id=2&type=s&cap_id=5 HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:55 +0300] "GET /crm/cap/swot?company_id=2&type=w&cap_id=5 HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:55 +0300] "GET /crm/cap/swot?company_id=2&type=o&cap_id=5 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:55 +0300] "GET /crm/cap/swot?company_id=2&type=t&cap_id=5 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:55 +0300] "GET /crm/cap/swot?company_id=2&type=s&cap_id=5 HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:55 +0300] "GET /crm/cap/swot?company_id=2&type=w&cap_id=5 HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:55 +0300] "GET /crm/cap/swot?company_id=2&type=o&cap_id=5 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:55 +0300] "GET /crm/cap/swot?company_id=2&type=t&cap_id=5 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:58 +0300] "GET /crm/cap/pareto?company_id=2 HTTP/1.1" 200 1534
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:08:58 +0300] "GET /crm/cap/pareto?company_id=2 HTTP/1.1" 200 1534
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:48:07 +0300] "POST /crm/account/login?username=admin&password=admin HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:48:11 +0300] "GET /crm/contacts?company_id=2 HTTP/1.1" 200 450
